Figure of merit results from optimization:
2018-12-17 12:14:08, SI=1, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:10, SI=1, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:12, SI=1, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:14, SI=1, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:15, SI=2, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:18, SI=2, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:19, SI=2, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:22, SI=2, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:23, SI=3, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:25, SI=3, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:27, SI=3, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:29, SI=3, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:30, SI=4, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:33, SI=4, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:34, SI=4, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:36, SI=4, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:38, SI=5, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:39, SI=5, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:41, SI=5, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:43, SI=5, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:45, SI=6, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:47, SI=6, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:48, SI=6, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:50, SI=6, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:52, SI=7, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:14:53, SI=7, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:14:55, SI=7, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:14:57, SI=7, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:14:59, SI=8, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:15:01, SI=8, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:15:03, SI=8, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:15:04, SI=8, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:15:06, SI=9, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:15:07, SI=9, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:15:09, SI=9, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:15:11, SI=9, It_no=0, Feval_no=4, FOM=77.77068180511083
2018-12-17 12:15:13, SI=10, It_no=0, Feval_no=1, FOM=77.77068180511083
2018-12-17 12:15:15, SI=10, It_no=0, Feval_no=2, FOM=77.77068180511083
2018-12-17 12:15:17, SI=10, It_no=0, Feval_no=3, FOM=77.77068180511083
2018-12-17 12:15:19, SI=10, It_no=0, Feval_no=4, FOM=77.77068180511083
