Figure of merit results from optimization:
2018-12-17 11:27:07, SI=1, It_no=0, Feval_no=1, FOM=782072.0044212503
2018-12-17 11:27:10, SI=1, It_no=0, Feval_no=2, FOM=782062.5719496269
2018-12-17 11:27:12, SI=1, It_no=0, Feval_no=3, FOM=782062.3526484425
2018-12-17 11:27:13, SI=1, It_no=0, Feval_no=4, FOM=782072.0044212503
2018-12-17 11:27:15, SI=1, It_no=1, Feval_no=5, FOM=782057.6693821365
2018-12-17 11:27:17, SI=1, It_no=1, Feval_no=6, FOM=782049.9932410211
2018-12-17 11:27:19, SI=1, It_no=2, Feval_no=7, FOM=782044.8260192159
2018-12-17 11:27:21, SI=1, It_no=2, Feval_no=8, FOM=782033.5006570299
2018-12-17 11:27:23, SI=1, It_no=3, Feval_no=9, FOM=782033.7189062161
2018-12-17 11:27:25, SI=1, It_no=4, Feval_no=10, FOM=782017.792284108
2018-12-17 11:27:26, SI=1, It_no=4, Feval_no=11, FOM=781997.3089956439
2018-12-17 11:27:28, SI=2, It_no=0, Feval_no=1, FOM=781997.3089956439
2018-12-17 11:27:30, SI=2, It_no=0, Feval_no=2, FOM=781998.6573950426
2018-12-17 11:27:32, SI=2, It_no=0, Feval_no=3, FOM=782001.3057101452
2018-12-17 11:27:34, SI=2, It_no=0, Feval_no=4, FOM=782003.8256971891
2018-12-17 11:27:36, SI=2, It_no=1, Feval_no=5, FOM=781991.912815235
2018-12-17 11:27:38, SI=2, It_no=1, Feval_no=6, FOM=781984.7371237951
2018-12-17 11:27:39, SI=2, It_no=2, Feval_no=7, FOM=781985.8345091275
2018-12-17 11:27:41, SI=2, It_no=3, Feval_no=8, FOM=781979.943501586
2018-12-17 11:27:43, SI=2, It_no=3, Feval_no=9, FOM=781970.6098575762
2018-12-17 11:27:45, SI=3, It_no=0, Feval_no=1, FOM=781970.6098575762
2018-12-17 11:27:47, SI=3, It_no=0, Feval_no=2, FOM=781968.3070130342
2018-12-17 11:27:49, SI=3, It_no=0, Feval_no=3, FOM=781967.5293449303
2018-12-17 11:27:51, SI=3, It_no=0, Feval_no=4, FOM=781975.7012486822
2018-12-17 11:27:53, SI=3, It_no=1, Feval_no=5, FOM=781961.0634708724
2018-12-17 11:27:54, SI=3, It_no=1, Feval_no=6, FOM=781952.2703562115
2018-12-17 11:27:56, SI=3, It_no=2, Feval_no=7, FOM=781951.6598585675
2018-12-17 11:27:58, SI=3, It_no=2, Feval_no=8, FOM=781940.6417535889
