Figure of merit results from optimization:
2018-12-17 12:09:07, SI=1, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:09, SI=1, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:10, SI=1, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:12, SI=1, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:14, SI=2, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:15, SI=2, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:17, SI=2, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:19, SI=2, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:20, SI=3, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:22, SI=3, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:24, SI=3, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:25, SI=3, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:27, SI=4, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:29, SI=4, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:30, SI=4, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:32, SI=4, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:34, SI=5, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:35, SI=5, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:37, SI=5, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:39, SI=5, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:40, SI=6, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:42, SI=6, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:43, SI=6, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:45, SI=6, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:47, SI=7, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:48, SI=7, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:50, SI=7, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:52, SI=7, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:09:53, SI=8, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:09:55, SI=8, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:09:57, SI=8, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:09:58, SI=8, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:10:00, SI=9, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:10:02, SI=9, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:10:03, SI=9, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:10:05, SI=9, It_no=0, Feval_no=4, FOM=78.09390393625216
2018-12-17 12:10:07, SI=10, It_no=0, Feval_no=1, FOM=78.09390393625216
2018-12-17 12:10:08, SI=10, It_no=0, Feval_no=2, FOM=78.09390393625216
2018-12-17 12:10:10, SI=10, It_no=0, Feval_no=3, FOM=78.09390393625216
2018-12-17 12:10:12, SI=10, It_no=0, Feval_no=4, FOM=78.09390393625216
