Figure of merit results from optimization:
2018-12-17 12:51:29, SI=1, It_no=0, Feval_no=1, FOM=80.5742418052058
2018-12-17 12:51:30, SI=1, It_no=0, Feval_no=2, FOM=80.5742418052058
2018-12-17 12:51:33, SI=1, It_no=0, Feval_no=3, FOM=80.23637505185837
2018-12-17 12:51:34, SI=1, It_no=0, Feval_no=4, FOM=79.4803012251454
2018-12-17 12:51:36, SI=1, It_no=1, Feval_no=5, FOM=78.725443733398
2018-12-17 12:51:38, SI=1, It_no=1, Feval_no=6, FOM=77.51226457845917
2018-12-17 12:51:40, SI=1, It_no=2, Feval_no=7, FOM=77.55798293306806
2018-12-17 12:51:42, SI=1, It_no=3, Feval_no=8, FOM=76.42043919875613
2018-12-17 12:51:43, SI=1, It_no=3, Feval_no=9, FOM=74.82210604083869
2018-12-17 12:51:45, SI=1, It_no=4, Feval_no=10, FOM=74.0909570411165
2018-12-17 12:51:47, SI=1, It_no=4, Feval_no=11, FOM=71.95325096856857
2018-12-17 12:51:49, SI=1, It_no=5, Feval_no=12, FOM=72.0122384072891
2018-12-17 12:51:51, SI=1, It_no=6, Feval_no=13, FOM=69.25540893966546
2018-12-17 12:51:52, SI=1, It_no=6, Feval_no=14, FOM=66.35204692212362
2018-12-17 12:51:54, SI=1, It_no=7, Feval_no=15, FOM=66.11986475633799
2018-12-17 12:51:56, SI=1, It_no=7, Feval_no=16, FOM=62.59720447631323
2018-12-17 12:51:58, SI=1, It_no=8, Feval_no=17, FOM=62.19521941181624
2018-12-17 12:52:00, SI=1, It_no=8, Feval_no=18, FOM=59.091872023049106
2018-12-17 12:52:02, SI=1, It_no=9, Feval_no=19, FOM=56.095308978310854
2018-12-17 12:52:04, SI=1, It_no=9, Feval_no=20, FOM=52.172259150701045
2018-12-17 12:52:06, SI=1, It_no=10, Feval_no=21, FOM=51.79666328440361
2018-12-17 12:52:08, SI=1, It_no=10, Feval_no=22, FOM=47.56383461851391
2018-12-17 12:52:10, SI=1, It_no=11, Feval_no=23, FOM=45.97814284614298
2018-12-17 12:52:12, SI=1, It_no=11, Feval_no=24, FOM=41.562853938014264
2018-12-17 12:52:14, SI=1, It_no=12, Feval_no=25, FOM=39.672504586800365
2018-12-17 12:52:16, SI=1, It_no=12, Feval_no=26, FOM=36.48280034841504
2018-12-17 12:52:18, SI=1, It_no=13, Feval_no=27, FOM=35.67341754563679
2018-12-17 12:52:20, SI=1, It_no=13, Feval_no=28, FOM=31.955201020408897
2018-12-17 12:52:22, SI=1, It_no=14, Feval_no=29, FOM=30.53979092815196
2018-12-17 12:52:24, SI=1, It_no=14, Feval_no=30, FOM=27.120447636455708
2018-12-17 12:52:26, SI=1, It_no=15, Feval_no=31, FOM=26.053016654916323
2018-12-17 12:52:28, SI=1, It_no=15, Feval_no=32, FOM=22.726152432184115
2018-12-17 12:52:30, SI=1, It_no=16, Feval_no=33, FOM=21.854598088237267
2018-12-17 12:52:33, SI=1, It_no=16, Feval_no=34, FOM=20.088189987409425
2018-12-17 12:52:35, SI=1, It_no=17, Feval_no=35, FOM=19.12876312536995
2018-12-17 12:52:37, SI=1, It_no=17, Feval_no=36, FOM=18.379607247709902
2018-12-17 12:52:39, SI=1, It_no=18, Feval_no=37, FOM=18.379607247709902
2018-12-17 12:52:42, SI=1, It_no=19, Feval_no=38, FOM=18.379607247709902
2018-12-17 12:52:44, SI=1, It_no=20, Feval_no=39, FOM=18.379607247709902
2018-12-17 12:52:46, SI=1, It_no=20, Feval_no=40, FOM=18.379607247709902
2018-12-17 12:52:48, SI=2, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:52:50, SI=2, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:52:52, SI=2, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:52:54, SI=2, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:52:56, SI=3, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:52:58, SI=3, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:00, SI=3, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:03, SI=3, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:05, SI=4, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:07, SI=4, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:09, SI=4, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:11, SI=4, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:13, SI=5, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:15, SI=5, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:17, SI=5, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:19, SI=5, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:21, SI=6, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:23, SI=6, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:25, SI=6, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:28, SI=6, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:30, SI=7, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:32, SI=7, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:34, SI=7, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:36, SI=7, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:38, SI=8, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:41, SI=8, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:43, SI=8, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:45, SI=8, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:47, SI=9, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:49, SI=9, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:51, SI=9, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:53:52, SI=9, It_no=0, Feval_no=4, FOM=18.379607247709902
2018-12-17 12:53:55, SI=10, It_no=0, Feval_no=1, FOM=18.379607247709902
2018-12-17 12:53:57, SI=10, It_no=0, Feval_no=2, FOM=18.379607247709902
2018-12-17 12:53:59, SI=10, It_no=0, Feval_no=3, FOM=18.379607247709902
2018-12-17 12:54:01, SI=10, It_no=0, Feval_no=4, FOM=18.379607247709902
