Figure of merit results from optimization:
2019-01-15 16:14:15, SI=1, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:14:17, SI=1, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:14:18, SI=1, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-15 16:14:20, SI=1, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-15 16:14:22, SI=1, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-15 16:14:24, SI=2, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:14:26, SI=2, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:14:28, SI=2, It_no=0, Feval_no=3, FOM=11.716298452340634
2019-01-15 16:14:29, SI=2, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-15 16:14:31, SI=2, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-15 16:14:33, SI=3, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:14:35, SI=3, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-15 16:14:36, SI=3, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-15 16:14:38, SI=3, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-15 16:14:40, SI=3, It_no=2, Feval_no=5, FOM=10.926666822525636
2019-01-15 16:14:42, SI=3, It_no=2, Feval_no=6, FOM=10.926666822525636
2019-01-15 16:14:44, SI=4, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:14:46, SI=4, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-15 16:14:47, SI=4, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:14:49, SI=4, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-15 16:14:51, SI=4, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-15 16:14:53, SI=5, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:14:54, SI=5, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:14:56, SI=5, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:14:58, SI=6, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:00, SI=6, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:01, SI=6, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:03, SI=7, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:05, SI=7, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:06, SI=7, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:08, SI=8, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:10, SI=8, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:12, SI=8, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:14, SI=9, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:16, SI=9, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:18, SI=9, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:20, SI=10, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:22, SI=10, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:24, SI=10, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:25, SI=11, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:27, SI=11, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:29, SI=11, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:31, SI=12, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:32, SI=12, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:34, SI=12, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:36, SI=13, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:39, SI=13, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:40, SI=13, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:15:42, SI=14, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:44, SI=14, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:46, SI=14, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-15 16:15:47, SI=14, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-15 16:15:49, SI=14, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-15 16:15:51, SI=15, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:15:53, SI=15, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:15:55, SI=15, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-15 16:15:57, SI=15, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-15 16:15:58, SI=15, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-15 16:16:00, SI=16, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:16:02, SI=16, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:16:04, SI=16, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:16:05, SI=17, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:16:07, SI=17, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:16:09, SI=17, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:16:11, SI=18, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:16:13, SI=18, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-15 16:16:15, SI=18, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-15 16:16:17, SI=19, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-15 16:16:18, SI=19, It_no=0, Feval_no=2, FOM=10.926666822525636
