Figure of merit results from optimization:
2018-12-17 15:24:59, SI=1, It_no=0, Feval_no=1, FOM=80.5742418052058
2018-12-17 15:25:01, SI=1, It_no=0, Feval_no=2, FOM=80.5742418052058
2018-12-17 15:25:03, SI=1, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 15:25:05, SI=1, It_no=0, Feval_no=4, FOM=8.571316004339764
2018-12-17 15:25:07, SI=1, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:25:08, SI=1, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:25:10, SI=1, It_no=2, Feval_no=7, FOM=8.501789931345968
2018-12-17 15:25:12, SI=1, It_no=3, Feval_no=8, FOM=8.501789931345968
2018-12-17 15:25:14, SI=1, It_no=4, Feval_no=9, FOM=8.501789931345968
2018-12-17 15:25:16, SI=1, It_no=4, Feval_no=10, FOM=8.501789931345968
2018-12-17 15:25:17, SI=2, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:25:19, SI=2, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:25:21, SI=2, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 15:25:23, SI=2, It_no=0, Feval_no=4, FOM=80.5742418052058
2018-12-17 15:25:25, SI=2, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:25:26, SI=2, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:25:28, SI=2, It_no=2, Feval_no=7, FOM=8.501789931345968
2018-12-17 15:25:30, SI=3, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:25:32, SI=3, It_no=0, Feval_no=2, FOM=8.571316004339764
2018-12-17 15:25:34, SI=3, It_no=0, Feval_no=3, FOM=8.642984818126882
2018-12-17 15:25:35, SI=3, It_no=0, Feval_no=4, FOM=8.716888543447542
2018-12-17 15:25:37, SI=3, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:25:39, SI=3, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:25:41, SI=3, It_no=3, Feval_no=7, FOM=8.501789931345968
2018-12-17 15:25:42, SI=3, It_no=3, Feval_no=8, FOM=8.501789931345968
2018-12-17 15:25:44, SI=4, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:25:46, SI=4, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:25:48, SI=4, It_no=0, Feval_no=3, FOM=8.642984818126882
2018-12-17 15:25:50, SI=4, It_no=0, Feval_no=4, FOM=8.501789931345968
2018-12-17 15:25:51, SI=4, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:25:53, SI=4, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:25:55, SI=5, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:25:57, SI=5, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:25:59, SI=5, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 15:26:00, SI=5, It_no=0, Feval_no=4, FOM=8.501789931345968
2018-12-17 15:26:02, SI=5, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:26:04, SI=5, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:26:06, SI=6, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:26:08, SI=6, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:26:10, SI=6, It_no=0, Feval_no=3, FOM=8.501789931345968
2018-12-17 15:26:12, SI=6, It_no=0, Feval_no=4, FOM=8.571316004339764
2018-12-17 15:26:14, SI=6, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:26:16, SI=6, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:26:17, SI=7, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:26:19, SI=7, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:26:21, SI=7, It_no=0, Feval_no=3, FOM=8.501789931345968
2018-12-17 15:26:23, SI=7, It_no=0, Feval_no=4, FOM=8.571316004339764
2018-12-17 15:26:25, SI=7, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:26:26, SI=7, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:26:28, SI=8, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:26:30, SI=8, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:26:33, SI=8, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 15:26:35, SI=8, It_no=0, Feval_no=4, FOM=8.571316004339764
2018-12-17 15:26:37, SI=8, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:26:39, SI=8, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:26:41, SI=8, It_no=2, Feval_no=7, FOM=8.501789931345968
2018-12-17 15:26:43, SI=9, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:26:44, SI=9, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 15:26:46, SI=9, It_no=0, Feval_no=3, FOM=8.501789931345968
2018-12-17 15:26:48, SI=9, It_no=0, Feval_no=4, FOM=8.571316004339764
2018-12-17 15:26:50, SI=9, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:26:51, SI=9, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:26:53, SI=10, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 15:26:55, SI=10, It_no=0, Feval_no=2, FOM=8.571316004339764
2018-12-17 15:26:57, SI=10, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 15:26:59, SI=10, It_no=0, Feval_no=4, FOM=8.501789931345968
2018-12-17 15:27:00, SI=10, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 15:27:02, SI=10, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 15:27:04, SI=10, It_no=2, Feval_no=7, FOM=8.501789931345968
