Figure of merit results from optimization:
2018-12-17 12:45:13, SI=9, It_no=1, Feval_no=5, FOM=64.18819876656659
2018-12-17 12:45:15, SI=9, It_no=1, Feval_no=6, FOM=63.71435164005783
2018-12-17 12:45:17, SI=9, It_no=2, Feval_no=7, FOM=63.5887552717836
2018-12-17 12:45:19, SI=9, It_no=2, Feval_no=8, FOM=62.93927137420352
2018-12-17 12:45:21, SI=10, It_no=0, Feval_no=1, FOM=62.93927137420352
2018-12-17 12:45:23, SI=10, It_no=0, Feval_no=2, FOM=63.09375976939588
2018-12-17 12:45:25, SI=10, It_no=0, Feval_no=3, FOM=62.68528188409495
2018-12-17 12:45:27, SI=10, It_no=0, Feval_no=4, FOM=62.65960332359002
2018-12-17 12:45:30, SI=10, It_no=1, Feval_no=5, FOM=62.43346373892229
2018-12-17 12:45:33, SI=10, It_no=1, Feval_no=6, FOM=62.110987147006284
2018-12-17 12:45:34, SI=10, It_no=2, Feval_no=7, FOM=62.03776975464205
2018-12-17 12:45:36, SI=10, It_no=2, Feval_no=8, FOM=61.60258516133833
