Figure of merit results from optimization:
2019-01-18 11:41:02, SI=1, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:41:04, SI=1, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:41:06, SI=1, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:41:08, SI=2, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:41:10, SI=2, It_no=0, Feval_no=2, FOM=11.716298452340633
2019-01-18 11:41:11, SI=2, It_no=0, Feval_no=3, FOM=11.716298452340633
2019-01-18 11:41:13, SI=2, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:41:15, SI=2, It_no=2, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:41:17, SI=2, It_no=2, Feval_no=6, FOM=10.926666822525636
2019-01-18 11:41:18, SI=3, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:41:20, SI=3, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-18 11:41:22, SI=3, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:41:23, SI=3, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:41:25, SI=3, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:41:26, SI=4, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:41:28, SI=4, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-18 11:41:30, SI=4, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-18 11:41:32, SI=4, It_no=1, Feval_no=4, FOM=10.996526889368583
2019-01-18 11:41:34, SI=4, It_no=1, Feval_no=5, FOM=10.996526889368583
2019-01-18 11:41:35, SI=4, It_no=1, Feval_no=6, FOM=10.996526889368583
2019-01-18 11:41:38, SI=4, It_no=1, Feval_no=7, FOM=10.926666822525636
2019-01-18 11:41:39, SI=4, It_no=2, Feval_no=8, FOM=10.926666822525636
2019-01-18 11:41:41, SI=4, It_no=2, Feval_no=9, FOM=10.926666822525636
2019-01-18 11:41:43, SI=5, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:41:45, SI=5, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-18 11:41:46, SI=5, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:41:48, SI=5, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:41:50, SI=5, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:41:52, SI=6, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:41:54, SI=6, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:41:55, SI=6, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-18 11:41:57, SI=6, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:41:59, SI=6, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:42:01, SI=7, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:02, SI=7, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:42:04, SI=7, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-18 11:42:06, SI=7, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:42:08, SI=7, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:42:10, SI=8, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:12, SI=8, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-18 11:42:13, SI=8, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:42:15, SI=8, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:42:17, SI=8, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:42:19, SI=9, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:21, SI=9, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:42:23, SI=9, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:42:25, SI=10, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:27, SI=10, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:42:28, SI=10, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:42:30, SI=11, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:32, SI=11, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:42:34, SI=11, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:42:35, SI=12, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:37, SI=12, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-18 11:42:39, SI=12, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:42:40, SI=12, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:42:42, SI=12, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:42:44, SI=13, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:46, SI=13, It_no=0, Feval_no=2, FOM=10.996526889368583
2019-01-18 11:42:47, SI=13, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-18 11:42:49, SI=13, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:42:51, SI=13, It_no=2, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:42:53, SI=13, It_no=2, Feval_no=6, FOM=10.926666822525636
2019-01-18 11:42:55, SI=14, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:42:56, SI=14, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:42:58, SI=14, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:00, SI=15, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:02, SI=15, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:03, SI=15, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:05, SI=16, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:07, SI=16, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:09, SI=16, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:10, SI=17, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:12, SI=17, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:14, SI=17, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:16, SI=18, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:18, SI=18, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:20, SI=18, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:22, SI=19, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:24, SI=19, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:26, SI=19, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:27, SI=20, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:29, SI=20, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:31, SI=20, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:33, SI=21, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:35, SI=21, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:37, SI=21, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:38, SI=22, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:40, SI=22, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:42, SI=22, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:44, SI=23, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:46, SI=23, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:48, SI=23, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:50, SI=24, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:51, SI=24, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:53, SI=24, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:43:55, SI=25, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:43:57, SI=25, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:43:59, SI=25, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:44:01, SI=26, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:44:03, SI=26, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:44:04, SI=26, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:44:06, SI=27, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:44:08, SI=27, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:44:10, SI=27, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:44:11, SI=28, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:44:13, SI=28, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:44:15, SI=28, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:44:16, SI=29, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:44:18, SI=29, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:44:20, SI=29, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:44:22, SI=30, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:44:23, SI=30, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:44:25, SI=30, It_no=0, Feval_no=3, FOM=10.926666822525636
