Figure of merit results from optimization:
2018-12-17 16:07:21, SI=1, It_no=0, Feval_no=1, FOM=80.5742418052058
2018-12-17 16:07:23, SI=1, It_no=0, Feval_no=2, FOM=80.5742418052058
2018-12-17 16:07:25, SI=1, It_no=0, Feval_no=3, FOM=8.501789931345968
2018-12-17 16:07:26, SI=1, It_no=0, Feval_no=4, FOM=80.5742418052058
2018-12-17 16:07:28, SI=1, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 16:07:30, SI=1, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 16:07:32, SI=1, It_no=3, Feval_no=7, FOM=8.501789931345968
2018-12-17 16:07:34, SI=1, It_no=3, Feval_no=8, FOM=8.501789931345968
2018-12-17 16:07:35, SI=2, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 16:07:37, SI=2, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 16:07:39, SI=2, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 16:07:41, SI=2, It_no=0, Feval_no=4, FOM=8.501789931345968
2018-12-17 16:07:43, SI=2, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 16:07:45, SI=2, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 16:07:46, SI=3, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 16:07:48, SI=3, It_no=0, Feval_no=2, FOM=8.501789931345968
2018-12-17 16:07:50, SI=3, It_no=0, Feval_no=3, FOM=8.571316004339764
2018-12-17 16:07:52, SI=3, It_no=0, Feval_no=4, FOM=8.571316004339764
2018-12-17 16:07:54, SI=3, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 16:07:56, SI=3, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 16:07:58, SI=3, It_no=2, Feval_no=7, FOM=8.501789931345968
2018-12-17 16:07:59, SI=4, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 16:08:01, SI=4, It_no=0, Feval_no=2, FOM=80.5742418052058
2018-12-17 16:08:03, SI=4, It_no=0, Feval_no=3, FOM=8.501789931345968
2018-12-17 16:08:05, SI=4, It_no=0, Feval_no=4, FOM=8.501789931345968
2018-12-17 16:08:07, SI=4, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 16:08:08, SI=4, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 16:08:10, SI=5, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 16:08:12, SI=5, It_no=0, Feval_no=2, FOM=8.716888543447542
2018-12-17 16:08:13, SI=5, It_no=0, Feval_no=3, FOM=8.501789931345968
2018-12-17 16:08:15, SI=5, It_no=0, Feval_no=4, FOM=8.501789931345968
2018-12-17 16:08:17, SI=5, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 16:08:18, SI=5, It_no=1, Feval_no=6, FOM=8.501789931345968
2018-12-17 16:08:20, SI=6, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 16:08:22, SI=6, It_no=0, Feval_no=2, FOM=8.571316004339764
2018-12-17 16:08:24, SI=6, It_no=0, Feval_no=3, FOM=80.5742418052058
2018-12-17 16:08:26, SI=6, It_no=0, Feval_no=4, FOM=8.642984818126882
2018-12-17 16:08:28, SI=6, It_no=1, Feval_no=5, FOM=8.501789931345968
2018-12-17 16:08:29, SI=6, It_no=2, Feval_no=6, FOM=8.501789931345968
2018-12-17 16:08:31, SI=6, It_no=3, Feval_no=7, FOM=8.501789931345968
2018-12-17 16:08:33, SI=6, It_no=3, Feval_no=8, FOM=8.501789931345968
2018-12-17 16:08:35, SI=7, It_no=0, Feval_no=1, FOM=8.501789931345968
2018-12-17 16:08:36, SI=7, It_no=0, Feval_no=2, FOM=8.571316004339764
2018-12-17 16:08:39, SI=7, It_no=0, Feval_no=3, FOM=8.642984818126882
