Figure of merit results from optimization:
2018-12-17 12:32:48, SI=1, It_no=0, Feval_no=1, FOM=80.5742418052058
2018-12-17 12:32:50, SI=1, It_no=0, Feval_no=2, FOM=80.09750884275083
2018-12-17 12:32:52, SI=1, It_no=0, Feval_no=3, FOM=80.16241688517302
2018-12-17 12:32:54, SI=1, It_no=0, Feval_no=4, FOM=80.5742418052058
2018-12-17 12:32:55, SI=1, It_no=1, Feval_no=5, FOM=80.26118521910443
2018-12-17 12:32:57, SI=1, It_no=2, Feval_no=6, FOM=79.8020331873966
2018-12-17 12:32:59, SI=1, It_no=2, Feval_no=7, FOM=79.49915477110517
2018-12-17 12:33:01, SI=1, It_no=3, Feval_no=8, FOM=79.56039584863153
2018-12-17 12:33:03, SI=1, It_no=4, Feval_no=9, FOM=79.43682440396215
2018-12-17 12:33:04, SI=1, It_no=4, Feval_no=10, FOM=79.21242440227782
2018-12-17 12:33:06, SI=2, It_no=0, Feval_no=1, FOM=79.21242440227782
2018-12-17 12:33:08, SI=2, It_no=0, Feval_no=2, FOM=78.87637601659169
2018-12-17 12:33:10, SI=2, It_no=0, Feval_no=3, FOM=78.87693814462298
2018-12-17 12:33:12, SI=2, It_no=0, Feval_no=4, FOM=79.36238622981372
2018-12-17 12:33:14, SI=2, It_no=1, Feval_no=5, FOM=78.50665655772185
2018-12-17 12:33:15, SI=2, It_no=1, Feval_no=6, FOM=78.05905642367689
2018-12-17 12:33:17, SI=2, It_no=2, Feval_no=7, FOM=78.0082097456117
2018-12-17 12:33:19, SI=2, It_no=2, Feval_no=8, FOM=77.67092488244191
2018-12-17 12:33:21, SI=3, It_no=0, Feval_no=1, FOM=77.67092488244191
2018-12-17 12:33:23, SI=3, It_no=0, Feval_no=2, FOM=77.14108488677097
2018-12-17 12:33:24, SI=3, It_no=0, Feval_no=3, FOM=77.75429100250756
2018-12-17 12:33:26, SI=3, It_no=0, Feval_no=4, FOM=77.07661245579857
2018-12-17 12:33:28, SI=3, It_no=1, Feval_no=5, FOM=76.84534514525308
2018-12-17 12:33:30, SI=3, It_no=1, Feval_no=6, FOM=76.42042542678671
2018-12-17 12:33:32, SI=3, It_no=2, Feval_no=7, FOM=76.39391002280686
2018-12-17 12:33:34, SI=3, It_no=2, Feval_no=8, FOM=75.75608734389291
2018-12-17 12:33:36, SI=4, It_no=0, Feval_no=1, FOM=75.75608734389291
2018-12-17 12:33:38, SI=4, It_no=0, Feval_no=2, FOM=75.80263796300015
2018-12-17 12:33:40, SI=4, It_no=0, Feval_no=3, FOM=75.96946260384989
2018-12-17 12:33:42, SI=4, It_no=0, Feval_no=4, FOM=75.06590479499323
2018-12-17 12:33:44, SI=4, It_no=1, Feval_no=5, FOM=75.13731963867436
2018-12-17 12:33:46, SI=4, It_no=2, Feval_no=6, FOM=74.84122720189399
2018-12-17 12:33:48, SI=4, It_no=2, Feval_no=7, FOM=74.38352643658747
2018-12-17 12:33:50, SI=4, It_no=3, Feval_no=8, FOM=74.00833214226763
2018-12-17 12:33:52, SI=4, It_no=3, Feval_no=9, FOM=73.54429749279915
2018-12-17 12:33:54, SI=5, It_no=0, Feval_no=1, FOM=73.54429749279915
2018-12-17 12:33:55, SI=5, It_no=0, Feval_no=2, FOM=73.15053320804837
2018-12-17 12:33:57, SI=5, It_no=0, Feval_no=3, FOM=73.78527229663571
2018-12-17 12:34:00, SI=5, It_no=0, Feval_no=4, FOM=73.11621180699883
2018-12-17 12:34:02, SI=5, It_no=1, Feval_no=5, FOM=72.77346809377357
2018-12-17 12:34:04, SI=5, It_no=1, Feval_no=6, FOM=72.30127665841312
2018-12-17 12:34:06, SI=5, It_no=2, Feval_no=7, FOM=72.18541691687034
2018-12-17 12:34:08, SI=5, It_no=2, Feval_no=8, FOM=71.56152762101685
2018-12-17 12:34:10, SI=6, It_no=0, Feval_no=1, FOM=71.56152762101685
2018-12-17 12:34:12, SI=6, It_no=0, Feval_no=2, FOM=71.00114397106181
2018-12-17 12:34:14, SI=6, It_no=0, Feval_no=3, FOM=71.24824111749885
2018-12-17 12:34:17, SI=6, It_no=0, Feval_no=4, FOM=71.8615832905064
2018-12-17 12:34:19, SI=6, It_no=1, Feval_no=5, FOM=70.7105584612236
2018-12-17 12:34:21, SI=6, It_no=1, Feval_no=6, FOM=70.18804134941004
2018-12-17 12:34:22, SI=6, It_no=2, Feval_no=7, FOM=70.09654081905934
2018-12-17 12:34:24, SI=6, It_no=2, Feval_no=8, FOM=69.89114935691377
2018-12-17 12:34:27, SI=7, It_no=0, Feval_no=1, FOM=69.89114935691377
2018-12-17 12:34:29, SI=7, It_no=0, Feval_no=2, FOM=69.56995178422157
2018-12-17 12:34:31, SI=7, It_no=0, Feval_no=3, FOM=70.15105924437691
2018-12-17 12:34:33, SI=7, It_no=0, Feval_no=4, FOM=69.45244761645952
2018-12-17 12:34:35, SI=7, It_no=1, Feval_no=5, FOM=69.14616826745959
2018-12-17 12:34:37, SI=7, It_no=1, Feval_no=6, FOM=68.68926058161016
2018-12-17 12:34:39, SI=7, It_no=2, Feval_no=7, FOM=68.61090833366015
2018-12-17 12:34:41, SI=7, It_no=2, Feval_no=8, FOM=68.05265669144282
2018-12-17 12:34:43, SI=8, It_no=0, Feval_no=1, FOM=68.05265669144282
2018-12-17 12:34:45, SI=8, It_no=0, Feval_no=2, FOM=67.92884014052407
2018-12-17 12:34:47, SI=8, It_no=0, Feval_no=3, FOM=68.19694161182335
2018-12-17 12:34:49, SI=8, It_no=0, Feval_no=4, FOM=67.89117513187107
2018-12-17 12:34:51, SI=8, It_no=1, Feval_no=5, FOM=67.7266583370426
2018-12-17 12:34:54, SI=8, It_no=1, Feval_no=6, FOM=67.5050865635258
2018-12-17 12:34:56, SI=8, It_no=2, Feval_no=7, FOM=67.50034745950218
2018-12-17 12:34:58, SI=8, It_no=2, Feval_no=8, FOM=67.23960790884695
2018-12-17 12:35:00, SI=9, It_no=0, Feval_no=1, FOM=67.23960790884695
2018-12-17 12:35:02, SI=9, It_no=0, Feval_no=2, FOM=67.19212233882493
2018-12-17 12:35:03, SI=9, It_no=0, Feval_no=3, FOM=67.34475614059825
2018-12-17 12:35:05, SI=9, It_no=0, Feval_no=4, FOM=67.43293948208414
2018-12-17 12:35:07, SI=9, It_no=1, Feval_no=5, FOM=67.09633771011254
2018-12-17 12:35:09, SI=9, It_no=1, Feval_no=6, FOM=66.94104771925186
