Figure of merit results from optimization:
2018-12-17 12:21:29, SI=1, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:21:31, SI=1, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:21:33, SI=1, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:21:35, SI=1, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:21:37, SI=2, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:21:39, SI=2, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:21:41, SI=2, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:21:43, SI=2, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:21:45, SI=3, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:21:47, SI=3, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:21:50, SI=3, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:21:52, SI=3, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:21:54, SI=4, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:21:56, SI=4, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:21:58, SI=4, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:00, SI=4, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:22:02, SI=5, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:22:04, SI=5, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:22:06, SI=5, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:08, SI=5, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:22:10, SI=6, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:22:13, SI=6, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:22:15, SI=6, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:17, SI=6, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:22:19, SI=7, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:22:21, SI=7, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:22:23, SI=7, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:25, SI=7, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:22:27, SI=8, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:22:29, SI=8, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:22:31, SI=8, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:33, SI=8, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:22:35, SI=9, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:22:37, SI=9, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:22:39, SI=9, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:41, SI=9, It_no=0, Feval_no=4, FOM=40.0388143031156
2018-12-17 12:22:43, SI=10, It_no=0, Feval_no=1, FOM=40.0388143031156
2018-12-17 12:22:45, SI=10, It_no=0, Feval_no=2, FOM=40.0388143031156
2018-12-17 12:22:47, SI=10, It_no=0, Feval_no=3, FOM=40.0388143031156
2018-12-17 12:22:49, SI=10, It_no=0, Feval_no=4, FOM=40.0388143031156
