Figure of merit results from optimization:
2019-01-18 11:33:04, SI=1, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:06, SI=1, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:08, SI=1, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:33:10, SI=2, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:11, SI=2, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:13, SI=2, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:33:15, SI=3, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:16, SI=3, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:18, SI=3, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:33:20, SI=4, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:22, SI=4, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:23, SI=4, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:33:25, SI=5, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:27, SI=5, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:29, SI=5, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-18 11:33:31, SI=5, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:33:33, SI=5, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:33:35, SI=6, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:36, SI=6, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:38, SI=6, It_no=0, Feval_no=3, FOM=10.996526889368583
2019-01-18 11:33:40, SI=6, It_no=1, Feval_no=4, FOM=10.926666822525636
2019-01-18 11:33:42, SI=6, It_no=1, Feval_no=5, FOM=10.926666822525636
2019-01-18 11:33:44, SI=7, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:46, SI=7, It_no=0, Feval_no=2, FOM=10.926666822525636
2019-01-18 11:33:48, SI=7, It_no=0, Feval_no=3, FOM=10.926666822525636
2019-01-18 11:33:50, SI=8, It_no=0, Feval_no=1, FOM=10.926666822525636
2019-01-18 11:33:52, SI=8, It_no=0, Feval_no=2, FOM=10.996526889368583
